
Gurobi 10.0.1 (win64) logging started Sat May  2 18:25:03 2026

Set parameter LogFile to value "D:\Project_Code\Paper\DP_LBBD_1\DP_lbbd\Algorithm\Results\mip_v1\large\exp_7f_55j_seed1\log\exp_7f_55j_seed1_gurobi.log"
Set parameter LogToConsole to value 0
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: Intel(R) Core(TM) Ultra 7 265KF, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads

Optimize a model with 146431 rows, 73150 columns and 722192 nonzeros
Model fingerprint: 0x51efa01c
Variable types: 1430 continuous, 71720 integer (71720 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [3e+01, 2e+03]
  Bounds range     [1e+00, 1e+02]
  RHS range        [1e+00, 4e+02]
Found heuristic solution: objective -0.0000000
Presolve removed 91735 rows and 45747 columns
Presolve time: 0.62s
Presolved: 54696 rows, 27403 columns, 267858 nonzeros
Variable types: 905 continuous, 26498 integer (26498 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 54696 rows, 27403 columns, 267858 nonzeros

Concurrent spin time: 0.00s

Solved with dual simplex (primal model)

Root relaxation: objective 2.474778e+04, 2777 iterations, 0.21 seconds (0.28 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 46017 32094 24251.7305   44  239 18737.7597 24358.9456  30.0%  42.2  515s
H46216 30608                    18737.759697 24358.9456  30.0%  43.0  518s
H46217 29086                    18785.114175 24358.9456  29.7%  43.0  518s
H46280 27683                    18947.384615 24358.9456  28.6%  43.2  519s
 46287 27730 24177.8578   49  228 18947.3846 24358.9456  28.6%  43.2  520s
 46691 27987 24124.0770   54  212 18947.3846 24358.9456  28.6%  43.9  525s
 47307 28285 23943.9257   61  234 18947.3846 24358.9456  28.6%  45.4  530s
 48468 29013 23424.6898   72  215 18947.3846 24358.9456  28.6%  47.0  535s
 49080 29231 21642.8012   82  165 18947.3846 24358.9456  28.6%  47.6  540s
 50121 29789 20232.2792  110   95 18947.3846 24357.3889  28.6%  48.4  568s
 50780 29925 24299.1837   45  217 18947.3846 24357.3889  28.6%  49.0  571s
 51526 30205 24145.7074   51  198 18947.3846 24357.3889  28.6%  49.9  575s
 52879 31153 21901.9114   72  131 18947.3846 24357.3889  28.6%  50.9  582s
 53892 31936 20116.2002   98  102 18947.3846 24357.3889  28.6%  51.1  586s
 55809 32598 24032.5885   50  200 18947.3846 24355.6217  28.5%  51.4  591s
 57553 33291 24329.9829   45  239 18947.3846 24352.6389  28.5%  52.1  596s
 58602 33749 19245.2869  100  126 18947.3846 24351.6570  28.5%  53.1  600s
 60084 34918 23656.0684   60  173 18947.3846 24351.6570  28.5%  54.7  605s
 62459 35595 infeasible  113      18947.3846 24350.8829  28.5%  54.7  611s
 64656 36581 24241.8089   54  195 18947.3846 24336.6540  28.4%  55.5  617s
 65854 36767 19379.7215  106  115 18947.3846 24336.3812  28.4%  55.8  620s
 67853 37908 20021.3268  106  116 18947.3846 24328.7321  28.4%  56.4  627s
 69199 39823 24007.8386   65  188 18947.3846 24328.0269  28.4%  56.8  635s
 73570 40078 19844.3409  144   86 18947.3846 24323.3373  28.4%  57.2  642s
 74330 40825 infeasible   54      18947.3846 24322.8998  28.4%  57.1  645s
 76525 42043 19682.8802  113  109 18947.3846 24321.7154  28.4%  57.2  652s
 77968 43095 21996.4584   93  126 18947.3846 24321.7110  28.4%  57.4  656s
 79708 43119 23591.7070   67  206 18947.3846 24321.6492  28.4%  57.2  660s
 82103 44707 24157.7816   49  210 18947.3846 24318.6875  28.3%  57.5  669s
 83697 45632 24067.8973   52  223 18947.3846 24318.4600  28.3%  57.8  673s
 85276 46750 22398.0752   87  149 18947.3846 24318.4600  28.3%  57.9  678s
 87310 47794 19655.4349  140  106 18947.3846 24318.1924  28.3%  57.6  684s
 89269 47153 22787.8113   85  172 18947.3846 24318.1924  28.3%  57.6  697s
 89297 48902 22707.2289   86  158 18947.3846 24318.1924  28.3%  57.6  703s
 91376 49487 21421.3509  109  124 18947.3846 24318.1924  28.3%  57.4  709s
 92851 52380 19510.4879  142   79 18947.3846 24318.1146  28.3%  57.3  725s
 97461 52246 20979.5854  114  109 18947.3846 24316.0813  28.3%  57.7  732s
 99256 53403 infeasible  138      18947.3846 24316.0813  28.3%  58.2  740s
 101561 54002 24050.9489   58  196 18947.3846 24315.0306  28.3%  58.3  747s
 103551 54965 20524.4617   99  117 18947.3846 24314.1329  28.3%  58.7  754s
 104510 54645 22194.2638   69  173 18947.3846 24313.5268  28.3%  58.8  755s
 105625 55900 20614.3466   86  141 18947.3846 24313.5176  28.3%  59.1  763s
 107786 56327 23675.6827   55  246 18947.3846 24311.9841  28.3%  59.4  770s
 109252 57669 24226.1950   49  266 18947.3846 24311.4769  28.3%  59.6  778s
 111492 59544 23986.9399   49  233 18947.3846 24310.4371  28.3%  59.9  788s
 114469 60036 20673.7407  115  141 18947.3846 24310.3931  28.3%  59.5  796s
 116483 63099 22108.0079   82  117 18947.3846 24309.4623  28.3%  59.7  813s
 120847 63152 20842.4102  132   94 18947.3846 24309.0675  28.3%  59.7  821s
 122784 63998 19609.8742  175   68 18947.3846 24307.9539  28.3%  59.7  829s
 124685 65563 23590.9554   58  233 18947.3846 24307.2100  28.3%  59.9  838s
 127166 66389 20654.7580  118  102 18947.3846 24306.8556  28.3%  59.6  846s
 129191 67539 23534.8591   70  216 18947.3846 24305.4604  28.3%  59.7  854s
 131085 68833 23009.3540   62  169 18947.3846 24304.5928  28.3%  60.0  862s
 132931 70364 23102.8108   83  205 18947.3846 24304.0541  28.3%  60.2  871s
 134806 72018 22960.0889   78  186 18947.3846 24302.8871  28.3%  60.6  880s
 136876 73361 22625.6688   85  175 18947.3846 24301.4395  28.3%  60.8  889s
 138571 73361 21741.7611   99  160 18947.3846 24301.2863  28.3%  60.9  890s
 138975 74922 22179.6940   94  148 18947.3846 24300.6639  28.3%  61.0  899s
 140043 74922 19326.2924  111  123 18947.3846 24299.9173  28.2%  61.1  900s
 141231 77378 24082.2938   54  292 18947.3846 24299.4869  28.2%  61.1  915s
